original_title,belongs_to_collection,original_language,budget,popularity,production_countries,runtime,spoken_languages,vote_average,vote_count,revenue,Foreign,Science Fiction,Romance,Action,Crime,Thriller,Family,Fantasy,Western,War,Horror,History,Animation,Comedy,Adventure,Mystery,Documentary,Music,Drama,release_year,production_companies_count,crew,cast
Screamers,1,1,20000000.0,12.758848,3,108.0,1,6.1,154.0,5781885.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1995,6,35,9
Things to Do in Denver When You're Dead,0,1,8000000.0,4.486179,1,116.0,1,6.7,87.0,529766.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,1,8,14
White Squall,0,1,38000000.0,9.568604,1,129.0,4,6.3,86.0,10300000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1996,3,10,15
Nick of Time,0,1,8169363.0,6.848591,1,90.0,1,6.1,190.0,8175346.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,1,10,12
Mary Reilly,0,1,47000000.0,12.866139,1,104.0,1,5.7,77.0,12379402.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1996,2,14,11
Vampire in Brooklyn,0,1,14000000.0,9.071127,1,100.0,1,4.5,113.0,19800000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1995,1,11,9
Broken Arrow,0,1,50000000.0,14.957626,1,108.0,1,5.7,459.0,150270147.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1996,3,17,15
Bottle Rocket,0,1,7000000.0,6.904831,1,91.0,2,6.8,285.0,560069.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1996,2,18,12
Happy Gilmore,0,1,12000000.0,9.592265,1,92.0,1,6.5,767.0,41205099.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1996,3,10,17
The Bridges of Madison County,0,1,24000000.0,5.951077,1,135.0,1,7.3,397.0,182016617.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,3,13,12
Braveheart,0,1,72000000.0,20.755149,1,177.0,4,7.7,3404.0,210000000.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1995,3,67,55
Taxi Driver,0,1,1300000.0,14.092713,1,114.0,2,8.1,2632.0,28262574.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1976,3,46,30
紅番區,0,0,7500000.0,12.314278,1,91.0,2,6.5,245.0,32392047.0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1995,2,4,9
Steal Big Steal Little,0,1,25000000.0,1.522412,1,113.0,1,5.1,7.0,6278139.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1995,1,5,9
Boomerang,0,1,40000000.0,6.506983,1,117.0,2,5.4,139.0,70100000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1992,1,6,13
Flirting with Disaster,0,1,7000000.0,5.579088,1,92.0,1,6.3,66.0,14702438.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1996,1,15,25
Jade,0,1,50000000.0,11.418917,1,95.0,1,5.1,45.0,9851610.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1995,1,6,21
The Birdcage,0,1,31000000.0,6.49968,1,117.0,2,6.7,303.0,185260553.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1996,1,5,10
Bad Boys,1,1,19000000.0,9.262184,1,118.0,1,6.5,1729.0,141407024.0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1995,2,20,32
An Awfully Big Adventure,0,1,4000000.0,0.922958,1,113.0,1,6.0,11.0,851545.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1995,4,29,20
Apollo 13,0,1,52000000.0,18.761467,1,140.0,1,7.3,1637.0,355237933.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,2,110,27
Rob Roy,0,1,28000000.0,10.193549,2,139.0,1,6.5,151.0,31596911.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,2,9,24
Batman Forever,1,1,100000000.0,13.321354,2,121.0,1,5.2,1529.0,336529144.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,2,99,17
Blue in the Face,1,1,2000000.0,11.528147,1,83.0,1,6.8,28.0,1275000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1995,2,19,20
Canadian Bacon,0,1,11000000.0,5.391556,2,91.0,1,5.9,57.0,178104.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1995,1,12,17
Casper,1,1,50000000.0,12.812539,1,100.0,1,6.0,1045.0,287928194.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1995,3,22,34
Clockers,0,1,25000000.0,4.558992,1,128.0,1,6.8,69.0,13071518.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1995,2,3,78
Congo,0,1,50000000.0,7.260574,1,109.0,2,5.0,214.0,152022101.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1995,2,9,21
Crimson Tide,0,1,53000000.0,8.657365,1,116.0,1,7.0,508.0,157387195.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,2,32,18
Desperado,1,1,7000000.0,6.950458,1,104.0,1,6.8,898.0,25405445.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,2,20,16
Devil in a Blue Dress,0,1,27000000.0,4.646132,1,102.0,1,6.3,88.0,16140822.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1995,2,8,11
Die Hard: With a Vengeance,1,1,90000000.0,15.138855,1,128.0,3,6.9,2094.0,366101666.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,2,49,17
First Knight,0,1,55000000.0,15.178338,1,134.0,2,5.9,319.0,127600435.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1995,2,16,16
Hackers,0,1,20000000.0,14.810519,1,107.0,4,6.2,406.0,7563728.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,2,29,25
Johnny Mnemonic,0,1,25000000.0,11.715868,2,97.0,2,5.5,380.0,19075720.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1995,2,9,38
Judge Dredd,0,1,90000000.0,8.184815,1,96.0,1,5.4,643.0,113493481.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,2,20,17
Kids,0,1,1500000.0,4.877872,1,91.0,1,6.8,280.0,7412216.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,1,10,16
Living in Oblivion,0,1,500000.0,10.058329,1,89.0,1,7.2,64.0,1148752.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1995,2,6,9
Mallrats,0,1,6000000.0,8.25547,1,94.0,1,6.8,400.0,2122561.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1995,4,10,18
Mighty Morphin Power Rangers: The Movie,1,1,15000000.0,7.024227,2,92.0,1,5.2,153.0,66000000.0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1995,3,15,12
Mute Witness,0,1,2.0,2.466066,4,95.0,2,6.4,36.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,3,6,13
The Net,1,1,22000000.0,13.304342,1,114.0,2,5.6,359.0,110627965.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1995,1,6,32
Party Girl,0,1,150000.0,1.165039,1,94.0,1,5.8,14.0,472370.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1995,1,16,8
The Prophecy,1,1,8.0,10.187623,1,98.0,1,6.4,139.0,16.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1995,1,8,9
