original_title,belongs_to_collection,original_language,budget,popularity,production_countries,runtime,spoken_languages,vote_average,vote_count,revenue,Foreign,Science Fiction,Romance,Action,Crime,Thriller,Family,Fantasy,Western,War,Horror,History,Animation,Comedy,Adventure,Mystery,Documentary,Music,Drama,release_year,production_companies_count,crew,cast
Santa Claus: The Movie,0,1,50000000.0,11.690532,1,108.0,1,6.1,58.0,23717291.0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1985,2,18,16
Rambo: First Blood Part II,1,1,44000000.0,11.924462,1,96.0,2,6.3,884.0,300400432.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1985,2,26,19
First Blood,1,1,15000000.0,14.778884,1,93.0,1,7.2,1523.0,125212904.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1982,1,59,23
Rambo III,1,1,63000000.0,11.624866,1,102.0,2,5.7,703.0,189015611.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1988,2,25,16
The Jewel of the Nile,1,1,25000000.0,10.571841,1,106.0,2,6.0,289.0,96773200.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1985,3,8,15
Romancing the Stone,1,1,10000000.0,6.827193,2,106.0,3,6.6,477.0,86572238.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984,4,10,23
Cocoon: The Return,1,1,17500000.0,12.167265,1,116.0,1,5.4,103.0,25024919.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1988,2,12,11
Rocky II,1,1,7000000.0,11.789813,1,119.0,1,6.9,948.0,200182160.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1979,1,18,14
Rocky III,1,1,17000000.0,11.673366,1,99.0,1,6.6,894.0,270000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1982,1,20,15
Rocky IV,1,1,31000000.0,10.25721,1,91.0,1,6.6,984.0,300473716.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1985,1,18,20
Rocky V,1,1,42000000.0,14.007329,1,104.0,1,5.3,688.0,119946358.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1990,1,23,16
Clue,0,1,15000000.0,7.720009,1,94.0,2,7.1,377.0,14643997.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1985,4,14,17
The Karate Kid,1,1,8000000.0,7.64499,1,126.0,1,6.9,913.0,90815558.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1984,3,20,10
"The Karate Kid, Part II",1,1,113.0,9.231318,1,113.0,1,5.9,457.0,115103979.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1986,2,7,11
National Lampoon's Christmas Vacation,1,1,27000000.0,9.802574,1,97.0,1,7.1,668.0,71320000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1989,2,8,24
You've Got Mail,0,1,65000000.0,10.237996,1,119.0,1,6.3,859.0,250821495.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1998,1,32,16
The Thin Red Line,0,1,52000000.0,9.783966,2,170.0,2,7.2,793.0,98126565.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1998,3,20,27
The Faculty,0,1,15000000.0,13.462253,1,104.0,1,6.2,500.0,40283321.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1998,2,64,33
Patch Adams,0,1,50000000.0,12.52181,1,115.0,1,7.0,863.0,202292902.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1998,4,54,28
A Civil Action,0,0,70000000.0,9.353499,1,115.0,1,6.1,113.0,56702901.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1998,3,15,19
Tea with Mussolini,0,1,12000000.0,3.094893,2,117.0,3,5.8,32.0,21001563.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1999,4,9,16
Affliction,0,1,6000000.0,4.40959,1,114.0,1,5.8,56.0,6330054.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1997,1,14,12
Playing by Heart,0,1,20000000.0,3.010088,1,121.0,1,6.6,49.0,3970078.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1998,4,20,25
Virus,0,1,75000000.0,7.116537,5,99.0,2,5.0,151.0,14010690.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1999,9,47,13
Howard the Duck,0,1,37000000.0,10.722672,1,110.0,2,5.1,227.0,37962774.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1986,2,11,10
The Fly,1,1,700000.0,8.407369,1,94.0,2,6.9,129.0,3000000.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1958,1,7,9
The Fly,1,1,15000000.0,13.534589,3,96.0,1,7.1,1038.0,60629159.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1986,2,45,10
Armed and Dangerous,0,1,12000000.0,5.037671,1,88.0,1,5.3,46.0,15945534.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1986,3,7,17
The Texas Chain Saw Massacre,1,1,85000.0,15.526413,1,83.0,1,7.1,617.0,30859000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1974,2,11,17
The Texas Chainsaw Massacre 2,1,1,4700000.0,9.501011,1,101.0,1,5.8,142.0,8025872.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1986,1,11,12
Texas Chainsaw Massacre: The Next Generation,1,1,600000.0,6.854576,1,95.0,1,3.9,96.0,185898.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1994,1,11,34
The Name of the Rose,0,1,20000000.0,11.469751,3,130.0,2,7.2,739.0,77200000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1986,4,25,37
Peggy Sue Got Married,0,1,18000000.0,7.471655,1,103.0,1,5.9,138.0,41382841.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1986,2,8,17
Crocodile Dundee,1,1,5000000.0,7.791212,1,97.0,1,6.3,512.0,328203506.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1986,2,10,10
The Color of Money,1,1,13800000.0,11.613655,1,119.0,2,6.7,297.0,52293982.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1986,2,7,49
Heartbreak Ridge,0,1,15000000.0,7.390012,1,130.0,2,6.5,270.0,42724017.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1986,2,16,41
She's All That,0,1,10000000.0,7.064982,1,95.0,1,5.7,425.0,103166989.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1999,3,8,23
"Blood, Guts, Bullets and Octane",0,1,7300.0,0.137676,1,87.0,1,6.0,3.0,13674.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1998,0,9,15
Peeping Tom,0,1,150000.0,7.229587,1,101.0,1,7.6,148.0,83957.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1960,2,8,16
Payback,0,1,90000000.0,9.112008,1,100.0,1,6.7,557.0,161626121.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1999,2,75,14
Simply Irresistible,0,1,6000000.0,6.053045,1,95.0,2,5.5,52.0,4398989.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1999,3,19,15
Blast from the Past,0,1,35000000.0,8.355977,1,112.0,4,6.3,247.0,40263020.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1999,3,20,14
Message in a Bottle,0,1,80000000.0,5.101392,1,131.0,1,5.9,198.0,118880016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1999,3,11,19
My Favorite Martian,0,1,65000000.0,12.65102,1,94.0,2,5.1,81.0,36850101.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1999,1,6,8
Jawbreaker,0,1,3000000.0,7.434797,1,87.0,1,5.9,93.0,3076820.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1999,3,22,14
Office Space,0,1,10000000.0,12.329066,1,89.0,1,7.4,1068.0,12827813.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1999,2,16,31
200 Cigarettes,0,1,6000000.0,3.227046,1,101.0,1,6.1,44.0,6852450.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1999,1,3,11
8MM,1,1,40000000.0,7.473718,1,123.0,1,6.1,479.0,96618699.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1999,3,77,16
Pet Sematary,1,1,11500000.0,8.365761,1,103.0,1,6.4,417.0,57469467.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1989,1,9,14
Pet Sematary II,1,1,8000000.0,6.823445,1,100.0,1,5.0,107.0,17092453.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1992,2,14,7
Children of the Corn II: The Final Sacrifice,1,1,900000.0,8.357875,1,92.0,1,4.5,50.0,6980986.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1993,3,40,11
Airport,1,1,10000000.0,7.873018,1,137.0,2,6.2,89.0,100489151.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1970,2,17,44
Airport 1975,1,1,3000000.0,8.480501,1,107.0,2,5.5,79.0,47000000.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1974,1,9,30
Airport '77,1,1,6000000.0,9.394776,1,114.0,2,5.8,69.0,30000000.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1977,1,13,21
The Towering Inferno,0,1,14000000.0,7.469056,1,159.0,1,7.1,230.0,116000000.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1974,4,51,38
Logan's Run,0,1,9000000.0,6.842274,1,119.0,1,6.6,272.0,25000000.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1976,1,26,19
Planet of the Apes,1,1,5800000.0,17.784978,1,112.0,1,7.5,958.0,33395426.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1968,2,38,31
Beneath the Planet of the Apes,1,1,3000000.0,12.325947,1,95.0,1,6.2,370.0,18999718.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1970,2,16,16
Battle for the Planet of the Apes,1,1,1700000.0,11.644764,1,93.0,1,5.5,220.0,8844595.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1973,2,10,17
Conquest of the Planet of the Apes,1,1,1700000.0,12.843375,1,88.0,1,6.1,243.0,9700000.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,2,8,29
Escape from the Planet of the Apes,1,1,2500000.0,12.120267,1,98.0,1,6.3,270.0,12348905.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,2,14,13
Earthquake,0,1,7000000.0,6.657792,1,123.0,1,5.6,76.0,79666653.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1974,2,15,19
The Concorde... Airport '79,1,1,14000000.0,3.514331,1,123.0,3,4.7,45.0,13015688.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1979,1,12,16
Analyze This,1,1,80000000.0,7.634017,2,103.0,1,6.4,512.0,176885658.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1999,4,13,21
The Corruptor,0,1,25000000.0,9.208831,1,110.0,3,6.1,60.0,15156200.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1999,2,7,12
Cruel Intentions,1,1,10500000.0,8.181065,1,97.0,3,6.6,848.0,75902208.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1999,3,10,20
"Lock, Stock and Two Smoking Barrels",0,1,1350000.0,4.60786,1,105.0,1,7.5,1671.0,3897569.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1998,5,12,27
The Deep End of the Ocean,0,1,38000000.0,5.78468,1,106.0,1,6.0,58.0,28121100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1999,2,6,15
The Rage: Carrie 2,1,1,21000000.0,4.766591,1,104.0,1,5.1,79.0,17762705.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1999,2,40,42
Dead Ringers,0,1,13000000.0,5.53202,2,115.0,1,7.0,176.0,8038508.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1988,3,22,18
Baby Geniuses,0,1,12000000.0,7.707344,1,97.0,2,3.3,75.0,36450736.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1999,3,3,6
Forces of Nature,0,1,75000000.0,7.906035,1,105.0,1,5.1,141.0,93888180.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1999,2,27,40
The King and I,0,1,25000000.0,1.466461,1,87.0,1,5.0,23.0,12000000.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1999,5,13,9
The King and I,0,1,4550000.0,7.630723,1,133.0,3,7.3,103.0,21300000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1956,1,17,11
The Mod Squad,0,1,50000000.0,3.826503,1,92.0,1,4.1,37.0,13260050.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1999,1,5,8
The Matrix,1,1,63000000.0,33.366332,2,136.0,1,7.9,9079.0,463517383.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,4,71,36
10 Things I Hate About You,0,1,16000000.0,12.069966,1,97.0,2,7.3,1768.0,53478166.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1999,3,37,44
The Out-of-Towners,0,1,75000000.0,9.019881,1,90.0,1,5.1,46.0,29000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1999,2,5,11
Following,0,1,6000.0,5.283661,1,69.0,1,7.2,363.0,48482.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1998,2,10,15
Go,0,1,6500000.0,8.344282,1,98.0,1,7.0,198.0,28451622.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1999,1,8,17
Never Been Kissed,0,1,25000000.0,7.257679,1,107.0,1,5.8,378.0,84565230.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1999,4,9,23
双龙会,0,0,10000000.0,10.222076,1,89.0,3,6.2,72.0,8359717.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1992,3,6,20
Cookie's Fortune,0,1,10000000.0,3.380684,1,118.0,1,6.2,35.0,10920544.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1999,4,13,19
Life,0,1,80000000.0,7.579444,1,108.0,1,6.4,179.0,73345029.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1999,2,10,16
Abre los ojos,0,0,2900000.0,8.842959,1,117.0,1,7.4,211.0,368234.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1997,5,46,12
Lost & Found,0,1,1.0,1.337096,1,95.0,1,4.9,26.0,100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1999,2,4,6
eXistenZ,0,1,15000000.0,11.446138,3,97.0,1,6.7,487.0,2856712.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1999,8,57,17
Entrapment,0,1,66000000.0,10.62333,2,112.0,1,6.0,613.0,212404396.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1999,2,105,21
Idle Hands,0,1,25000000.0,6.851628,1,92.0,1,6.1,183.0,4152230.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1999,3,13,25
Mildred Pierce,0,1,1453000.0,4.497049,1,111.0,2,7.4,81.0,5638000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1945,1,27,56
Night of the Comet,0,1,3000000.0,4.947043,1,95.0,1,6.1,94.0,14418922.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1984,3,10,17
Dick Tracy,0,1,47000000.0,8.304776,1,103.0,1,5.9,258.0,103738726.0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1990,1,9,25
The Mummy,1,1,80000000.0,23.984065,1,124.0,2,6.6,2796.0,415885488.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1999,2,19,26
The Castle,0,1,786675.0,4.337545,1,85.0,1,7.4,69.0,861789.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1997,2,17,18
Edge of Seventeen,0,1,1500000.0,1.666469,1,99.0,1,5.7,29.0,870751.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1998,1,46,39
Star Wars: Episode I - The Phantom Menace,1,1,115000000.0,15.649091,1,136.0,1,6.4,4526.0,924317558.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1999,1,14,58
Superman,1,1,55000000.0,15.460102,2,143.0,1,6.9,1042.0,300218018.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1978,3,19,92
Superman II,1,1,54000000.0,10.301621,2,127.0,1,6.5,642.0,190458706.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1980,3,60,50
Superman III,1,1,39000000.0,9.614638,2,125.0,4,5.3,500.0,75850624.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1983,3,16,10
Superman IV: The Quest for Peace,1,1,17000000.0,7.990679,2,90.0,5,4.1,327.0,19300000.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1987,4,18,18
Dracula,1,1,355000.0,7.503126,1,72.0,3,7.2,254.0,1012189.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1931,1,14,26
Frankenstein,1,1,291000.0,8.091603,1,71.0,1,7.3,295.0,12000000.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1931,1,28,27
The Rocky Horror Picture Show,1,1,1200000.0,8.699428,2,100.0,1,7.4,703.0,112892319.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1975,2,10,12
It Came from Hollywood,0,1,5000000.0,1.629796,1,80.0,1,6.0,12.0,2091037.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1982,1,4,5
The War of the Worlds,0,1,2000000.0,5.609399,1,85.0,3,6.8,172.0,2000000.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1953,1,7,95
Notting Hill,0,1,42000000.0,9.874043,2,124.0,2,7.0,1309.0,363889678.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1999,4,11,27
The Thirteenth Floor,0,1,16000000.0,9.356587,1,100.0,1,6.8,381.0,18564088.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1999,2,22,31
Limbo,0,1,8000000.0,1.969282,0,126.0,1,7.0,17.0,1997807.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1999,0,3,4
Austin Powers: The Spy Who Shagged Me,1,1,33000000.0,13.984182,1,95.0,2,6.1,1034.0,310940086.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1999,2,26,18
The Red Violin,0,1,18000000.0,7.725843,3,131.0,6,7.2,101.0,9495408.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1998,2,3,58
Tarzan,1,1,150000000.0,12.453452,1,88.0,1,7.1,1715.0,448000000.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1999,1,27,11
The General's Daughter,0,1,60000000.0,14.039655,2,116.0,1,6.1,209.0,149705852.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1999,4,23,16
An Ideal Husband,0,1,14000000.0,3.873796,2,97.0,1,6.3,47.0,18535191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1999,2,3,6
Lola rennt,0,0,1530000.0,7.765379,1,81.0,3,7.2,672.0,7267585.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1998,2,37,23
Big Daddy,0,1,34200000.0,8.011869,1,93.0,2,6.2,898.0,234801895.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1999,1,38,20
Le Dîner de cons,0,0,12500000.0,6.122739,1,80.0,1,7.7,408.0,78599508.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1998,4,6,13
Arachnophobia,0,1,31000000.0,5.418428,1,103.0,2,6.2,445.0,53208180.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1990,3,14,32
Wild Wild West,0,1,170000000.0,9.887602,1,106.0,1,5.1,1042.0,222104681.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1999,4,12,29
American Pie,1,1,11000000.0,18.344227,1,95.0,1,6.4,2358.0,235483004.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1999,4,86,43
Muppets from Space,1,1,24000000.0,7.531668,1,87.0,1,5.8,94.0,16290976.0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1999,2,9,18
The Blair Witch Project,1,1,60000.0,14.838386,1,81.0,1,6.3,1090.0,248000000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1999,2,28,10
Eyes Wide Shut,0,1,65000000.0,13.268484,2,159.0,1,7.1,1266.0,162091208.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1999,4,18,18
Lake Placid,1,1,27000000.0,13.787108,1,82.0,1,5.5,251.0,56870414.0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1999,3,38,17
The Wood,0,1,6000000.0,4.414077,1,106.0,1,7.1,34.0,25059640.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1999,1,3,11
Ghostbusters,1,1,30000000.0,22.089729,1,107.0,1,7.3,2431.0,295212467.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1984,3,23,50
Ghostbusters II,1,1,37000000.0,16.414239,1,108.0,1,6.3,1131.0,215394738.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1989,1,56,22
Drop Dead Gorgeous,0,1,10000000.0,6.396767,1,98.0,1,6.5,88.0,10571408.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1999,3,6,19
The Haunting,0,1,80000000.0,8.967638,1,113.0,1,5.2,374.0,91188905.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1999,2,108,21
Trick,0,1,450000.0,2.493289,1,89.0,1,6.7,24.0,2049595.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1999,1,2,4
Deep Blue Sea,0,1,60000000.0,7.493615,2,105.0,1,5.6,616.0,73648228.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,4,148,18
Mystery Men,0,1,68000000.0,10.466306,1,121.0,1,5.7,255.0,29762011.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1999,3,13,26
Runaway Bride,0,1,70000000.0,8.919469,1,116.0,1,5.8,472.0,309457509.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1999,4,32,18
Spartacus,0,1,12000000.0,11.110376,1,197.0,1,7.3,472.0,60000000.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1960,2,44,117
Lolita,0,1,2000000.0,9.551293,2,153.0,1,7.3,409.0,9250000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1962,3,9,11
Barry Lyndon,0,1,11000000.0,14.003467,2,184.0,3,7.7,521.0,20000000.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1975,3,14,17
Vibes,0,1,1884000.0,7.368928,2,99.0,1,6.0,10.0,1883811.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1988,2,15,34
The Golden Child,0,1,25000000.0,8.236472,1,94.0,3,5.6,311.0,79817939.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1986,1,10,8
The Color Purple,0,1,15000000.0,11.573562,1,154.0,1,7.7,345.0,146292009.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1985,3,18,21
Native Son,0,1,2000000.0,0.910047,1,111.0,1,2.0,2.0,1301121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1986,2,5,15
The Mission,0,1,24500000.0,11.241995,2,126.0,4,7.1,295.0,17218023.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1986,5,15,11
Little Shop of Horrors,0,1,25000000.0,7.409179,1,94.0,1,6.7,389.0,38748395.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1986,2,15,17
Dick,0,1,13000000.0,3.960622,3,94.0,2,5.7,67.0,27500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1999,1,16,15
The Iron Giant,0,1,70000000.0,15.441459,1,86.0,1,7.6,1470.0,23159305.0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1999,1,45,29
The Sixth Sense,0,1,40000000.0,18.449169,1,107.0,3,7.7,3223.0,672806292.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1999,4,89,51
The Thomas Crown Affair,0,1,48000000.0,10.961226,1,113.0,1,6.7,349.0,124305181.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1999,2,16,13
Brokedown Palace,0,1,25000000.0,6.570918,1,100.0,2,6.2,115.0,13000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1999,4,4,14
Detroit Rock City,0,1,6500000.0,6.074832,1,95.0,1,6.7,102.0,4217115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1999,5,9,24
Never Talk to Strangers,0,1,6400000.0,7.506958,3,86.0,1,4.7,31.0,6.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,1,3,7
The Raven,0,1,350000.0,4.817514,1,86.0,1,6.3,56.0,1499275.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1963,1,17,7
