ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Price,Inches_OpSys_Weight,Inches_Cpu_Gpu,Company_Cpu,Inches_OpSys_Weight_Inches_Cpu_Gpu
8,8,6,4,5,5,443.8560971811244,8050,560,80,4508000
0,14,6,10,17,5,439.4064119963512,7490,3332,0,24956680
15,102,1,5,76,5,1500.656328564754,9380,108528,408,1017992640
15,106,9,16,85,5,777.5824860391126,5040,126140,742,635745600
8,74,9,16,53,5,666.3292322068213,5950,54908,518,326702600
15,102,1,5,79,5,1611.8984581840832,8050,112812,204,908136600
15,106,9,16,61,5,1834.3827174227424,805,45262,424,36435910
8,24,9,10,36,5,777.5824860391126,8750,12096,48,105840000
8,106,4,10,98,5,766.4582730771797,8050,145432,0,1170727600
8,106,1,29,61,5,1331.568291543373,1750,45262,742,79208500
8,77,9,16,79,5,1329.3434489509866,9380,85162,308,798819560
8,97,9,16,53,5,1166.9299397067657,1400,51410,194,71974000
13,83,9,16,61,5,942.2208378757202,1995,35441,0,70704795
8,97,9,10,24,2,667.3415355863572,3220,32592,388,104946240
8,56,6,16,24,2,539.5243286537476,3220,18816,224,60587520
8,59,8,16,65,5,641.8670879035308,10500,53690,118,563745000
15,102,0,5,75,5,1389.4141989454245,9240,107100,714,989604000
8,97,9,16,7,5,799.8309119629785,5670,9506,679,53899020
8,22,6,26,12,5,388.2350323714597,7490,3696,154,27683040
8,83,9,10,6,2,719.7365786370614,3220,6972,332,22449840
15,97,9,16,98,5,1244.7994304402962,1400,66542,679,93158800
37,74,9,16,53,6,1490.6445368990142,1296,31376,962,40663296
15,74,8,16,72,5,733.0856341913808,2750,53280,518,146520000
8,56,6,10,47,5,461.54359579059775,5180,36848,560,190872640
15,97,9,16,72,5,1327.1186063586,2100,69840,194,146664000
8,102,1,18,76,5,1445.035263755089,8050,108528,1122,873650400
15,97,9,16,53,5,1646.3835183660754,2750,51410,970,141377500
8,106,1,18,98,5,1403.8756757959372,3990,145432,212,580273680
31,98,9,16,58,5,1534.0289674505525,875,39788,392,34814500
13,74,9,16,53,5,1556.2773933744186,1365,27454,740,37474710
9,83,6,26,61,5,803.1681758515584,2950,50630,581,149358500
15,83,9,16,61,5,1812.134291498876,805,35441,332,28530005
40,118,10,40,110,9,1222.5510045164303,42525,324500,2242,13799362500
8,106,9,29,61,5,1205.8646850735308,2950,64660,742,190747000
15,106,9,18,72,5,1257.4031637261662,7140,106848,424,762894720
8,56,6,10,66,5,627.4056110530179,12000,59136,112,709632000
8,106,9,16,72,5,1243.6870091441028,4970,106848,212,531034560
13,59,8,10,53,5,532.8498008765879,7490,43778,0,327897220
8,102,1,20,80,5,2493.492335417269,5530,114240,1122,631747200
8,74,9,16,72,4,699.7129953055821,6440,74592,740,480372480
8,106,1,29,70,5,1413.887467461677,10480,118720,742,1244185600
